frame_name,target_frame,matches,inliers,ratio,quality,status
20251028_165814.jpg,TEMPLATE,0,0,0.0,template,template image
20251028_165816.jpg,20251028_165814.jpg,791,247,0.3122629582806574,good,saved
20251028_165817.jpg,20251028_165816.jpg,1354,809,0.5974889217134417,good,saved
20251028_165818.jpg,20251028_165817.jpg,746,511,0.6849865951742627,good,saved
20251028_165820.jpg,20251028_165818.jpg,629,459,0.7297297297297297,good,saved
20251028_165821.jpg,20251028_165820.jpg,1492,1044,0.6997319034852547,good,saved
20251028_165823.jpg,20251028_165821.jpg,2054,1560,0.759493670886076,good,saved
20251028_165827.jpg,20251028_165823.jpg,1921,1402,0.7298282144716294,good,saved
20251028_165836.jpg,20251028_165827.jpg,776,390,0.5025773195876289,good,saved
20251028_165838.jpg,20251028_165836.jpg,1737,1008,0.5803108808290155,good,saved
20251028_165843.jpg,20251028_165838.jpg,901,376,0.41731409544950054,good,saved
20251028_165851.jpg,20251028_165843.jpg,1625,510,0.31384615384615383,good,saved
20251028_170011.jpg,20251028_165851.jpg,988,522,0.52834008097166,good,saved
20251028_184742.jpg,20251028_170011.jpg,143,32,0.22377622377622378,bad,bad homography
