frame_id,total_correspondences,inlier_count,inlier_ratio,mean_error,median_error
0001_to_template,167,56,0.33532934131736525,0.032603178173303604,0.034160271286964417
0000_to_0001,198,40,0.20202020202020202,0.033343490213155746,0.036432042717933655
0002_to_0001,78,18,0.23076923076923078,0.028366347774863243,0.0327744334936142
0003_to_0002,519,175,0.3371868978805395,0.03165557235479355,0.03240933269262314
0004_to_0003,91,27,0.2967032967032967,0.030476583167910576,0.03212257847189903
0005_to_0004,188,33,0.17553191489361702,0.029080592095851898,0.030019674450159073
